Ti,V,Mn,Fe,Co,Ni,Zr,Mo,Sn,W,CP,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,Cation,Anion,P_low,P_high,CD,Cs
False,False,False,True,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,27.4,1.0,K,OH,-1.2,-0.2,2.0,303.0
False,False,False,True,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,27.4,1.0,K,OH,-1.2,-0.2,4.0,235.0
False,False,False,True,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,27.4,1.0,K,OH,-1.2,-0.2,6.0,210.0
False,False,False,True,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,27.4,1.0,K,OH,-1.2,-0.2,8.0,192.0
False,False,False,True,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,27.4,1.0,K,OH,-1.2,-0.2,10.0,176.0
False,False,False,True,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,11.0,1.0,K,OH,-1.2,-0.2,2.0,105.0
False,False,False,True,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,11.0,1.0,K,OH,-1.2,-0.2,4.0,84.0
False,False,False,True,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,11.0,1.0,K,OH,-1.2,-0.2,6.0,74.0
False,False,False,True,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,11.0,1.0,K,OH,-1.2,-0.2,8.0,63.0
False,False,False,True,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,11.0,1.0,K,OH,-1.2,-0.2,10.0,60.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,3.6,2.0,K,OH,-1.1,0.0,3.0,459.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,3.6,2.0,K,OH,-1.1,0.0,5.0,372.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,3.6,2.0,K,OH,-1.1,0.0,10.0,309.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,3.6,2.0,K,OH,-1.1,0.0,15.0,299.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,3.6,2.0,K,OH,-1.1,0.0,20.0,289.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,3.6,2.0,K,OH,-1.1,0.0,30.0,269.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,3.0,721.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,5.0,650.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,10.0,621.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,15.0,617.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,20.0,614.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,30.0,589.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,nanoparticles,supported,165.0,2.0,K,OH,-1.1,0.0,3.0,769.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,nanoparticles,supported,165.0,2.0,K,OH,-1.1,0.0,5.0,708.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,nanoparticles,supported,165.0,2.0,K,OH,-1.1,0.0,10.0,637.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,nanoparticles,supported,165.0,2.0,K,OH,-1.1,0.0,15.0,587.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,nanoparticles,supported,165.0,2.0,K,OH,-1.1,0.0,20.0,570.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,nanoparticles,supported,165.0,2.0,K,OH,-1.1,0.0,30.0,555.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,127.6,2.0,K,OH,-0.1,0.4,1.0,1301.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,127.6,2.0,K,OH,-0.1,0.4,2.5,1073.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,127.6,2.0,K,OH,-0.1,0.4,5.0,883.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,127.6,2.0,K,OH,-0.1,0.4,10.0,650.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,127.6,2.0,K,OH,-0.1,0.4,20.0,450.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,98.3,2.0,K,OH,-0.1,0.4,1.0,1180.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,98.3,2.0,K,OH,-0.1,0.4,2.5,952.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,98.3,2.0,K,OH,-0.1,0.4,5.0,733.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,98.3,2.0,K,OH,-0.1,0.4,10.0,531.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,98.3,2.0,K,OH,-0.1,0.4,20.0,339.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,65.1,2.0,K,OH,-0.1,0.4,1.0,1079.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,65.1,2.0,K,OH,-0.1,0.4,2.5,883.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,65.1,2.0,K,OH,-0.1,0.4,5.0,681.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,65.1,2.0,K,OH,-0.1,0.4,10.0,471.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,65.1,2.0,K,OH,-0.1,0.4,20.0,271.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,41.5,2.0,K,OH,-0.1,0.4,1.0,899.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,41.5,2.0,K,OH,-0.1,0.4,2.5,733.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,41.5,2.0,K,OH,-0.1,0.4,5.0,583.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,41.5,2.0,K,OH,-0.1,0.4,10.0,388.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,41.5,2.0,K,OH,-0.1,0.4,20.0,221.0
False,False,False,False,True,False,False,False,False,False,False,0,0,bulk,0,3.2,2.0,K,OH,-0.1,0.4,1.0,624.0
False,False,False,False,True,False,False,False,False,False,False,0,0,bulk,0,3.2,2.0,K,OH,-0.1,0.4,2.5,495.0
False,False,False,False,True,False,False,False,False,False,False,0,0,bulk,0,3.2,2.0,K,OH,-0.1,0.4,5.0,345.0
False,False,False,False,True,False,False,False,False,False,False,0,0,bulk,0,3.2,2.0,K,OH,-0.1,0.4,10.0,212.0
False,False,False,False,True,False,False,False,False,False,False,0,0,bulk,0,3.2,2.0,K,OH,-0.1,0.4,20.0,93.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,17.5,2.0,K,OH,-0.1,0.5,1.0,236.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,17.5,2.0,K,OH,-0.1,0.5,2.0,225.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,17.5,2.0,K,OH,-0.1,0.5,5.0,203.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,17.5,2.0,K,OH,-0.1,0.5,10.0,175.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,17.5,2.0,K,OH,-0.1,0.5,15.0,152.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,21.0,2.0,K,OH,0.0,0.4,2.0,624.0
False,False,False,False,True,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,coated,93.0,2.0,K,OH,0.0,0.4,2.0,929.0
False,False,False,False,True,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,coated,93.0,2.0,K,OH,0.0,0.4,4.0,855.0
False,False,False,False,True,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,coated,93.0,2.0,K,OH,0.0,0.4,8.0,798.0
False,False,False,False,True,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,coated,93.0,2.0,K,OH,0.0,0.4,14.0,713.0
False,False,False,False,True,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,coated,93.0,2.0,K,OH,0.0,0.4,20.0,677.0
False,False,False,False,True,False,False,False,False,False,False,0,0,flower-like clusters,0,66.4,2.0,K,OH,-0.1,0.5,1.0,719.0
False,False,False,False,True,False,False,False,False,False,False,0,0,flower-like clusters,0,66.4,2.0,K,OH,-0.1,0.5,2.0,697.0
False,False,False,False,True,False,False,False,False,False,False,0,0,flower-like clusters,0,66.4,2.0,K,OH,-0.1,0.5,5.0,621.0
False,False,False,False,True,False,False,False,False,False,False,0,0,flower-like clusters,0,66.4,2.0,K,OH,-0.1,0.5,10.0,537.0
False,False,False,False,True,False,False,False,False,False,False,0,0,flower-like clusters,0,66.4,2.0,K,OH,-0.1,0.5,20.0,477.0
False,False,False,False,True,False,False,False,False,False,False,0,0,flower-like clusters,0,46.2,2.0,K,OH,-0.1,0.5,1.0,554.0
False,False,False,False,True,False,False,False,False,False,False,0,0,flower-like clusters,0,46.2,2.0,K,OH,-0.1,0.5,2.0,540.0
False,False,False,False,True,False,False,False,False,False,False,0,0,flower-like clusters,0,46.2,2.0,K,OH,-0.1,0.5,5.0,497.0
False,False,False,False,True,False,False,False,False,False,False,0,0,flower-like clusters,0,46.2,2.0,K,OH,-0.1,0.5,10.0,469.0
False,False,False,False,True,False,False,False,False,False,False,0,0,flower-like clusters,0,46.2,2.0,K,OH,-0.1,0.5,20.0,417.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,3.3,2.0,K,OH,-0.1,0.5,1.0,180.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,3.3,2.0,K,OH,-0.1,0.5,2.0,167.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,3.3,2.0,K,OH,-0.1,0.5,5.0,143.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,3.3,2.0,K,OH,-0.1,0.5,10.0,115.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,3.3,2.0,K,OH,-0.1,0.5,20.0,78.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,29.3,2.0,K,OH,-0.2,0.45,0.5,654.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,29.3,2.0,K,OH,-0.2,0.45,1.0,595.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,29.3,2.0,K,OH,-0.2,0.45,5.0,499.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,36.3,6.0,K,OH,0.0,0.4,0.5,996.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,36.3,6.0,K,OH,0.0,0.4,1.0,987.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,36.3,6.0,K,OH,0.0,0.4,2.0,980.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,36.3,6.0,K,OH,0.0,0.4,3.0,973.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,36.3,6.0,K,OH,0.0,0.4,4.0,966.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,36.3,6.0,K,OH,0.0,0.4,5.0,958.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,13.1,6.0,K,OH,0.0,0.4,0.5,354.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,13.1,6.0,K,OH,0.0,0.4,1.0,342.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,13.1,6.0,K,OH,0.0,0.4,2.0,322.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,13.1,6.0,K,OH,0.0,0.4,3.0,308.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,13.1,6.0,K,OH,0.0,0.4,4.0,294.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,13.1,6.0,K,OH,0.0,0.4,5.0,290.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,113.9,2.0,K,OH,-0.1,0.4,1.0,936.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,113.9,2.0,K,OH,-0.1,0.4,2.0,883.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,113.9,2.0,K,OH,-0.1,0.4,5.0,810.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,113.9,2.0,K,OH,-0.1,0.4,10.0,746.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,113.9,2.0,K,OH,-0.1,0.4,20.0,686.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,67.1,3.0,K,OH,0.0,0.45,1.0,427.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,67.1,3.0,K,OH,0.0,0.45,10.0,405.0
False,False,False,False,True,False,False,False,False,False,False,0,0,nanoparticles,0,67.1,3.0,K,OH,0.0,0.45,20.0,383.0
False,False,False,False,False,True,False,False,False,False,False,0,0,nanoparticles,0,201.4,3.0,K,OH,0.0,0.45,1.0,952.0
False,False,False,False,False,True,False,False,False,False,False,0,0,nanoparticles,0,201.4,3.0,K,OH,0.0,0.45,2.0,809.0
False,False,False,False,False,True,False,False,False,False,False,0,0,nanoparticles,0,201.4,3.0,K,OH,0.0,0.45,3.0,743.0
False,False,False,False,False,True,False,False,False,False,False,0,0,nanoparticles,0,201.4,3.0,K,OH,0.0,0.45,5.0,669.0
False,False,False,False,False,True,False,False,False,False,False,0,0,nanoparticles,0,201.4,3.0,K,OH,0.0,0.45,10.0,553.0
False,False,False,False,False,True,False,False,False,False,False,0,0,nanoparticles,0,201.4,3.0,K,OH,0.0,0.45,20.0,442.0
False,False,False,False,True,True,False,False,False,False,False,0,0,nanoparticles,0,78.4,3.0,K,OH,0.0,0.45,1.0,1731.0
False,False,False,False,True,True,False,False,False,False,False,0,0,nanoparticles,0,78.4,3.0,K,OH,0.0,0.45,2.0,1679.0
False,False,False,False,True,True,False,False,False,False,False,0,0,nanoparticles,0,78.4,3.0,K,OH,0.0,0.45,3.0,1640.0
False,False,False,False,True,True,False,False,False,False,False,0,0,nanoparticles,0,78.4,3.0,K,OH,0.0,0.45,5.0,1571.0
False,False,False,False,True,True,False,False,False,False,False,0,0,nanoparticles,0,78.4,3.0,K,OH,0.0,0.45,10.0,1446.0
False,False,False,False,True,True,False,False,False,False,False,0,0,nanoparticles,0,78.4,3.0,K,OH,0.0,0.45,20.0,1330.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,326.2,6.0,K,OH,0.0,0.36,0.5,703.0
False,False,False,False,True,False,False,False,False,False,False,0,0,hollow morph,0,326.2,6.0,K,OH,0.0,0.36,10.0,510.0
False,False,False,False,False,False,False,True,False,False,False,0,0,flower-like clusters,0,58.2,2.0,K,OH,0.0,0.5,1.0,117.0
False,False,False,False,False,False,False,True,False,False,False,0,0,flower-like clusters,0,58.2,2.0,K,OH,0.0,0.5,2.0,102.0
False,False,False,False,False,False,False,True,False,False,False,0,0,flower-like clusters,0,58.2,2.0,K,OH,0.0,0.5,5.0,72.0
False,False,False,False,False,False,False,True,False,False,False,0,0,flower-like clusters,0,58.2,2.0,K,OH,0.0,0.5,10.0,44.0
False,False,False,False,True,False,False,True,False,False,False,0,0,irregular nanoparticles,0,60.1,2.0,K,OH,0.0,0.5,1.0,1038.0
False,False,False,False,True,False,False,True,False,False,False,0,0,irregular nanoparticles,0,60.1,2.0,K,OH,0.0,0.5,2.0,980.0
False,False,False,False,True,False,False,True,False,False,False,0,0,irregular nanoparticles,0,60.1,2.0,K,OH,0.0,0.5,5.0,867.0
False,False,False,False,True,False,False,True,False,False,False,0,0,irregular nanoparticles,0,60.1,2.0,K,OH,0.0,0.5,10.0,738.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,51.2,2.0,K,OH,0.0,0.5,1.0,464.0
False,False,False,False,True,False,False,False,False,False,False,0,0,irregular nanoparticles,0,51.2,2.0,K,OH,0.0,0.5,2.0,437.0
